Outer Fold,Inner Fold,DecisionTree,RandomForest,CatBoost,XGBoost,LightGBM
1,1',0.933642,0.936023,0.934536,0.93505,0.863416
,2',0.932357,0.934802,0.934426,0.935248,0.980997
,3',0.927426,0.928405,0.929032,0.929727,0.981848
,4',0.918649,0.920235,0.918563,0.918984,0.807321
,5',0.928405,0.929733,0.929245,0.929619,0.89604
,Avg,0.934587,0.934838,0.933749,0.935611,0.95953
2,1',0.931045,0.93314,0.930653,0.931571,0.967562
,2',0.932252,0.932909,0.933761,0.932825,0.985475
,3',0.930246,0.931094,0.932512,0.932864,0.987695
,4',0.929774,0.930314,0.932313,0.931289,0.801831
,5',0.918452,0.922537,0.923764,0.923214,0.897823
,Avg,0.928511,0.931304,0.931031,0.930601,0.886918
3,1',0.934574,0.935344,0.933726,0.935088,0.957041
,2',0.930192,0.931983,0.933921,0.930862,0.909368
,3',0.927114,0.927172,0.928698,0.928019,0.943396
,4',0.928968,0.928488,0.929835,0.929519,0.81
,5',0.926986,0.928112,0.92836,0.928445,0.895596
,Avg,0.930784,0.931403,0.930661,0.930188,0.985088
4,1',0.933178,0.934877,0.936805,0.93719,0.961961
,2',0.933333,0.93437,0.934072,0.93447,0.904704
,3',0.932636,0.934455,0.936369,0.93719,0.954909
,4',0.928154,0.929299,0.933608,0.930396,0.989905
,5',0.926843,0.92934,0.927059,0.92657,0.899516
,Avg,0.921355,0.922796,0.921986,0.92112,0.856135
5,1',0.936058,0.937428,0.937738,0.937592,0.955309
,2',0.934574,0.935409,0.930884,0.932039,0.903206
,3',0.929504,0.930151,0.931879,0.932544,0.946459
,4',0.923617,0.927114,0.926958,0.926887,0.985197
,5',0.926887,0.925547,0.925576,0.925576,0.811966
,Avg,0.928013,0.928994,0.928473,0.930225,0.912205
,Final Avg,0.92865,0.929867,0.92918,0.929549,0.919975
