Feature,Importance,Satisfaction,Opportunity,Num of reviews
,,,,
manager,7.026059801,0.050251256,14.00186835,199
bar,4.810433046,5.520675602,4.810433046,87
service,4.971487821,0.279072142,9.6639035,81
bathroom,6.288672671,0.161290323,12.41605502,62
terminal,5.640056611,0.428466618,10.8516466,56
tv,5.041787534,0.188679245,9.894895822,53
roof,4.927585476,0.2,9.655170951,50
pool,5.143299102,2.038842634,8.24775557,49
price,5.566792302,0.416400951,10.71718365,47
floor,4.26465555,0.222222222,8.307088878,45
shower,3.765113909,0.243902439,7.28632538,41
lounge,4.046137417,0.322580645,7.769694188,31
bathroom,4.880026411,0.344827586,9.415225236,29
spa,4.16403775,0.379003559,7.949071942,28
flight,6.382528881,0.398989449,12.36606831,28
service,6.382307477,1.635230441,11.12938451,26
lounge,5.051049432,0.4,9.702098863,25
lift,3.986440377,9.6,3.986440377,25
